month,unlocked,delta,address,cap
2027-06-13 00:00:00,1626846.111111111,65073.8444444444,0x003f926aca18cf1688bfbd5eeaaa93a7b2e27c29,2257250
2027-07-13 00:00:00,1691919.9555555554,65073.8444444444,0x003f926aca18cf1688bfbd5eeaaa93a7b2e27c29,2257250
2027-08-13 00:00:00,1756993.7999999998,65073.8444444444,0x003f926aca18cf1688bfbd5eeaaa93a7b2e27c29,2257250
2027-09-13 00:00:00,1822067.6444444447,65073.84444444487,0x003f926aca18cf1688bfbd5eeaaa93a7b2e27c29,2257250
2027-10-13 00:00:00,1887141.488888889,65073.8444444444,0x003f926aca18cf1688bfbd5eeaaa93a7b2e27c29,2257250
2027-11-13 00:00:00,1952215.3333333335,65073.8444444444,0x003f926aca18cf1688bfbd5eeaaa93a7b2e27c29,2257250
2027-12-13 00:00:00,2017289.177777778,65073.8444444444,0x003f926aca18cf1688bfbd5eeaaa93a7b2e27c29,2257250
2028-01-13 00:00:00,2082363.0222222223,65073.8444444444,0x003f926aca18cf1688bfbd5eeaaa93a7b2e27c29,2257250
2028-02-13 00:00:00,2147436.8666666667,65073.8444444444,0x003f926aca18cf1688bfbd5eeaaa93a7b2e27c29,2257250
2028-03-13 00:00:00,2212510.711111111,65073.8444444444,0x003f926aca18cf1688bfbd5eeaaa93a7b2e27c29,2257250
2028-04-13 00:00:00,2277584.5555555555,44739.2888888889,0x003f926aca18cf1688bfbd5eeaaa93a7b2e27c29,2257250
2028-05-13 00:00:00,2342658.4,0.0,0x003f926aca18cf1688bfbd5eeaaa93a7b2e27c29,2257250
2028-06-13 00:00:00,2407732.2444444443,0.0,0x003f926aca18cf1688bfbd5eeaaa93a7b2e27c29,2257250
2028-07-13 00:00:00,2472806.0888888887,0.0,0x003f926aca18cf1688bfbd5eeaaa93a7b2e27c29,2257250
2028-08-13 00:00:00,2537879.933333333,0.0,0x003f926aca18cf1688bfbd5eeaaa93a7b2e27c29,2257250
2028-09-13 00:00:00,2602953.7777777775,0.0,0x003f926aca18cf1688bfbd5eeaaa93a7b2e27c29,2257250
2028-10-13 00:00:00,2668027.622222222,0.0,0x003f926aca18cf1688bfbd5eeaaa93a7b2e27c29,2257250
2028-11-13 00:00:00,2733101.466666667,0.0,0x003f926aca18cf1688bfbd5eeaaa93a7b2e27c29,2257250
2028-12-13 00:00:00,2798175.311111111,0.0,0x003f926aca18cf1688bfbd5eeaaa93a7b2e27c29,2257250
2029-01-13 00:00:00,2863249.1555555556,0.0,0x003f926aca18cf1688bfbd5eeaaa93a7b2e27c29,2257250
2029-02-13 00:00:00,2928323.0,0.0,0x003f926aca18cf1688bfbd5eeaaa93a7b2e27c29,2257250
2025-02-13 00:00:00,0.0,0.0,0x011c75386d9178f70f3f577bf23bb93704523203,43705
2025-03-13 00:00:00,0.0,0.0,0x011c75386d9178f70f3f577bf23bb93704523203,43705
2025-04-13 00:00:00,0.0,0.0,0x011c75386d9178f70f3f577bf23bb93704523203,43705
2025-05-13 00:00:00,0.0,0.0,0x011c75386d9178f70f3f577bf23bb93704523203,43705
2025-06-13 00:00:00,0.0,0.0,0x011c75386d9178f70f3f577bf23bb93704523203,43705
2025-07-13 00:00:00,0.0,0.0,0x011c75386d9178f70f3f577bf23bb93704523203,43705
2025-08-13 00:00:00,0.0,0.0,0x011c75386d9178f70f3f577bf23bb93704523203,43705
2025-09-13 00:00:00,0.0,0.0,0x011c75386d9178f70f3f577bf23bb93704523203,43705
2025-10-13 00:00:00,0.0,0.0,0x011c75386d9178f70f3f577bf23bb93704523203,43705
2025-11-13 00:00:00,0.0,0.0,0x011c75386d9178f70f3f577bf23bb93704523203,43705
