recipient,balance
0x1335c34058146FC8B104567aEfC03b6c28aaFe35,6994.646964124
0xB06a7C90aEA1DcbeFA92896eC034493Ff28f5da8,6898.65232584
0xfE298B6E8009760C15F36B0539eFE2D527B620cA,6468.169593582999
0xe6Aed8F902D0180b58135cC6512a5456b0F3DDD7,6146.009651118
0x42CF37276C0C78596fc9F9d94909073fbDf16107,6145.991421649999
0xA290e46CE973AbF24371B9cC73b0d0bccCB50C9C,6122.013148668
0x53BD57Fc6181cD28cc91a401bE3cFFdc4E6ef54b,6121.933695287
0xCc7536D370F627598D7517EB367a707dE9f0BC8D,6081.9245081809995
0x6E032a9218248E04C4dC236070C7a4a5E3172E7E,6057.997762622
0x52D13dF94D4237eC5F6143D01e47b2cce22e919F,5809.980277252
0xaf3F1b019c5c7Ac6B3fA5706306C2ee6AdBb93A4,5674.016451943
0x59379D796CECf7563180F1d6fB9e8D03a6C76Ac1,5490.637596589
0x1106133A38A688287A3D6ac9144Bf0C0e3914c0f,5369.713261004
0x042E34eD096F48A3Fcf7f0c0F4eD5EC20c6F9f97,5292.153828445
0xc9eCBe323B67607eb7fecEC9962Caef2847b2524,4720.541488879
0xa12173A7482102181e4565E1cfb7EDBEAAbDC67C,4689.28620821
0x047F873453AE5B88f66621B9d253Ce668e05E546,4481.1261195120005
0x74eE7410bc97a0F77319D8E752eA4CDA1e2849c9,4418.304280797
0xB9ec0d40196B76cBC027c7226Df0EcF5d372ceE8,4377.048425397
0x2409d30c13f903A713Cb257455EefE166BA8D57C,4145.396110756
0x3327aBE0F9BC001ae371619Cbdf213a5eD2C592f,4099.084166389
0x209cd186A00D2495EdD45c966fbC41f9c0935aea,4011.006629219
0xdE4489EAF71919662C5791133979770Cc57b7963,3939.524295432
0xA95B4928240EFCe4De56400af6fd03C6181fCBe6,3888.858293565
0xD34D96e085cF3DDdb95c9e90E02DE3Cf1Fc70E77,3880.817362416
0x5d90d1627f7A3F7C5182f9E5b3C2E57fcBb2B901,3689.431584249
0x8295BB00B9ac6f1F0Cc9541D66633b7D85684FD7,3686.765286905
0xB77DfC6d0B2aBCF10Abbf888aCD224bdd6024B3D,3384.6414227789996
0x01284E409628390fb9447a82C05bDa173B598B28,3240.519961164
0xb4161C2e52706632C09032Ebb5dF56BF7E858AAd,3234.513100777
0xaAF00919f2Cd6397a874B91A6033C067baDcc514,3163.677867194
0x4997D4407C14176843f74d00A5b47633c5e96a00,3144.710800129
0x79d2C3bd94faDFeB7E1bD41E2a3f36656B6C0881,3042.276092736
0x44b97F5A07eda811e8073C3bbD6FD13C4c4a909d,2976.838504894
0x451C02D6AD8feBA0Af8Fa0C26b54cd6D48496967,2880.2578986139997
0xf2Fc9498a64FcC3Ea8D47f69D77951DA0623a58F,2848.264121706
0x98a9b8C558185D6A6ef4062D6cCe48fe7814E2Dd,2808.815015055
0x3e287B9357f4e2f94Fe8badc0843E57391181598,2656.44232257
0xf6A21D407A70acdef28dcDf0cd39d2662b3d0151,2544.5856804500004
0x83B19c6E31900b3A20D06e91E5E4bb01B88600bA,2528.4110756580003
0x077b5CdA7cDaaE8a4807BE146A8259cA5E465aBf,2464.392085277
0x18A46A541B32dc1e8Ef813554186718364feDebd,2392.317982916
0x8e7a99Ef4F9e51D448619e736a5aD8eD44E3aa7C,2368.3346540670004
0xD986fD90Ffc27Cb97BD61Ca6a3433eF9a952cE4e,2232.790835134
0xF999E8ac54878C9FD89F493174bF375e62e48690,2152.23109397
0x41c8f887A45A190b0216Af1E89C0d22e94F8f31f,1848.322879058
0xaB0D3d0E40563d9E9fBC37ca27a5F201A3b8B5Fb,1408.1195832100002
0x39146b38e7622fb0704C81b6A1Ed77677d38cc14,1345.021428025
